,amount,name,notes,recipe,units
25,['1'],spring onion greens,(scallion greens) for garnishing,veg manchurian ,tablespoon
0,['1'],small pumpkin,(kaddu),kaddu ki sabzi ,
1,['¼'],fenugreek seeds,(methi seeds),kaddu ki sabzi ,teaspoon
2,['1'],cumin seeds,(jeera),kaddu ki sabzi ,teaspoon
3,['1 or 2'],dry red chilies,(optional),kaddu ki sabzi ,
4,['½'],red chili powder,(lal mirch powder),kaddu ki sabzi ,teaspoon
5,['½'],turmeric powder,(haldi),kaddu ki sabzi ,teaspoon
6,['¼'],garam masala powder,,kaddu ki sabzi ,teaspoon
7,['1'],dry mango powder,(amchur),kaddu ki sabzi ,teaspoon
8,['1'],sugar,or 2 teaspoon crushed jaggery,kaddu ki sabzi ,teaspoon
9,['2'],oil,,kaddu ki sabzi ,tablespoon
10,['¾'],water,or 1 cup water,kaddu ki sabzi ,cup
11,,a few chopped coriander leaves for garnishing,(optional),kaddu ki sabzi ,
12,,rock salt,or sendha namak (or you can use common salt if not making during religious fasting),kaddu ki sabzi ,
0,['2'],medium sized juicy semi ripe mangoes,,mango chutney ,
1,['½'],panch phoran,"- equal mix of cumin, fennel, mustard, nigella & fenugreek seeds",mango chutney ,teaspoon
2,['2'],powdered jaggery,or as required - adjust as per the sweetness of the mangoes,mango chutney ,tablespoon
3,['1'],peanut oil,or any vegetable oil,mango chutney ,tablespoon
4,['½'],ginger,(adrak) - grated or finely chopped,mango chutney ,inch
5,['¼'],red chili powder,(lal mirch powder),mango chutney ,teaspoon
6,['1'],garam masala powder,,mango chutney ,pinch
7,['1'],asafoetida,(hing),mango chutney ,pinch
8,,salt as required,,mango chutney ,
0,['2'],roasted chana dal,(roasted bengal gram or bhuna chana dal),red chutney ,tablespoons
1,['4 to 5'],garlic,(lahsun),red chutney ,
2,['3 to 4'],dry kashmiri red chilies,(sookhi lal mirch) - soaked in warm water for 30-40 minutes - adjust as per your taste preferences and depending on the type of chilies. for a hotter version add 4 to 5 dry kashmiri red chilies.,red chutney ,
3,['1'],seedlees tamarind,(imli),red chutney ,teaspoon
4,['¼'],"onion,",roughly chopped,red chutney ,cup
5,,salt as required,,red chutney ,
6,,some water to grind the chutney,,red chutney ,
0,['1'],whole wheat flour,or atta,sweet puda or poora ,cup
1,['1'],fennel seeds,or saunf,sweet puda or poora ,teaspoon
2,,"sugar to taste,",add as required,sweet puda or poora ,
3,,"water,",add as required,sweet puda or poora ,
4,,ghee or oil for frying,,sweet puda or poora ,
0,['250'],paneer,(cottage cheese),paneer do pyaza ,grams
1,['2'],medium sized onions for blanching and sauteing,"Or 75 to 80 grams Onions, you can also add 5 to 6 button onions or small pearl onions",paneer do pyaza ,
2,['2'],"medium sized onions,","finely chopped Or 75 to 80 grams onions, Or about ½ to 2/3 cup finely chopped onions",paneer do pyaza ,
3,['2'],medium tomatoes,Or 75 to 80 grams tomatoes,paneer do pyaza ,
4,['½'],"ginger + 2 small garlic cloves,",made into a paste in a mortar-pestle or ½ teaspoon ginger garlic paste (adrak lahsun ka paste),paneer do pyaza ,inch
5,['¼'],turmeric powder,(haldi),paneer do pyaza ,teaspoon
6,['½'],coriander powder,(dhania powder),paneer do pyaza ,teaspoon
7,['½'],cumin powder,(jeera powder),paneer do pyaza ,teaspoon
8,['¼'],black pepper powder,(kali mirch powder),paneer do pyaza ,teaspoon
9,['¼'],garam masala powder,,paneer do pyaza ,teaspoon
10,['2'],of nutmeg powder,(jaiphal powder),paneer do pyaza ,pinches
11,['3'],"low fat cream,",25% to 35% fat,paneer do pyaza ,tablespoon
12,['1'],butter for sauteing the blanched onions,,paneer do pyaza ,teaspoon
13,['1.5'],oil for the remaining gravy,,paneer do pyaza ,tablespoon
14,,salt as required,,paneer do pyaza ,
15,['1'],cinnamon,(dalchini),paneer do pyaza ,inch
16,['3'],green cardamoms,(hari elaichi or choti elaichi),paneer do pyaza ,
17,['2 to 3'],cloves,(lavang),paneer do pyaza ,
18,['1'],single strand of mace,(javitri),paneer do pyaza ,
19,['1'],medium tej patta,or 2 small tej patta (indian bay leaf),paneer do pyaza ,
20,['2 to 3'],dry red chilies,(sookhi lal mirch),paneer do pyaza ,
21,['1'],"ginger julienne,",optional,paneer do pyaza ,teaspoon
22,['½ to 1'],chopped coriander leaves,(dhania patta),paneer do pyaza ,tablespoon
23,['1 to 2'],grated paneer,(cottage cheese),paneer do pyaza ,teaspoon
0,['4 to 5'],"chopped watermelon cubes,",deseeded,watermelon orange juice ,cups
1,['¾ to 1'],orange juice,"or 1 medium or large sized orange, juiced",watermelon orange juice ,cup
2,['4-5'],fresh mint leaves,(optional),watermelon orange juice ,
3,,organic unrefined cane sugar,or powdered jaggery as required,watermelon orange juice ,
4,,a few fresh mint leaves for garnishing,,watermelon orange juice ,
5,,ice cubes,(optional),watermelon orange juice ,
0,['5 to 6'],medium potatoes,OR 12 to 15 baby potatoes,bengali dum aloo ,
1,['3 to 4'],mustard oil,(sarson ka tel),bengali dum aloo ,tablespoon
2,['1'],tej patta,(indian bay leaf),bengali dum aloo ,
3,['½'],kashmiri red chili powder,or degi mirch - adjust as required if using a hotter variety of chili powder,bengali dum aloo ,teaspoon
4,['½'],coriander powder,(dhania powder),bengali dum aloo ,teaspoon
5,['½'],turmeric powder,(haldi),bengali dum aloo ,teaspoon
6,['1'],cumin powder,(jeera powder),bengali dum aloo ,teaspoon
7,['1'],water,,bengali dum aloo ,cup
8,['½'],sugar or as required,,bengali dum aloo ,teaspoon
9,,salt as required,,bengali dum aloo ,
10,['2'],medium onions,,bengali dum aloo ,
11,['½'],ginger,(adrak),bengali dum aloo ,inch
12,['2 to 3'],garlic cloves,(lahsun),bengali dum aloo ,
13,['1'],large tomato,- approx 1 cup tomato puree,bengali dum aloo ,
14,['1.5 to 2'],cinnamon,(dalchini),bengali dum aloo ,inch
15,['3 to 4'],cloves,(lavang),bengali dum aloo ,
16,['1'],ghee,(optional),bengali dum aloo ,teaspoon
0,['500 to 550 '],unripe nendran bananas,or 3 unripe nendran bananas,banana chips ,grams 
1,['4'],water,,banana chips , cups
2,['1 '],turmeric powder,(haldi),banana chips ,teaspoon 
3,['½ '],water,,banana chips ,cup 
4,['1 '],salt,,banana chips ,tablespoon 
5,['1.5 '],coconut oil,,banana chips ,cups 
6,,mandoline slicer,,banana chips ,
7,,strainer or kitchen paper towels,,banana chips ,
8,,splatter screen or mesh screen,,banana chips ,
0,['3 to 3.5'],grated lauki,(bottle gourd or dudhi),lauki halwa ,cups
1,['500'],"milk,",which has been already boiled before,lauki halwa ,ml
2,['7'],sugar,"- for a very sweet taste, increase to 8 tablespoon sugar",lauki halwa ,tablespoon
3,['3 to 4'],ghee,(clarified butter),lauki halwa ,tablespoon
4,['4 to 5'],green cardamoms,- powdered or crushed (chotti elaichi or hari elaichi),lauki halwa ,
5,['½'],chopped almonds (badam),and cashews (kaju),lauki halwa ,cup
0,['250'],bhindi,(okra or lady finger),vendakkai poriyal ,grams
1,['2'],sesame oil,or any oil,vendakkai poriyal ,tablespoon
2,['½'],mustard seeds,(rai),vendakkai poriyal ,teaspoon
3,['½'],urad dal,(split and husked black gram),vendakkai poriyal ,teaspoon
4,['8 to 10'],curry leaves,(kadi patta),vendakkai poriyal ,
5,['1 to 2'],green chilies,"(hari mirch) - chopped or 1 to 2 dry red chilies, broken and deseeded",vendakkai poriyal ,
6,['1'],asafoetida,(hing),vendakkai poriyal ,pinch
7,['1/8'],turmeric powder,(haldi),vendakkai poriyal ,teaspoon
8,['2'],chopped coriander leaves,(dhania patta),vendakkai poriyal ,tablespoon
9,,salt as required,,vendakkai poriyal ,
0,['2'],chopped palak,(spinach),palak khichdi ,cups
1,['¼ or ⅓'],raw peanuts,(moongphali),palak khichdi ,cup
2,['½'],moong dal,(yellow mung lentils),palak khichdi ,cup
3,['½'],long grained rice,or basmati rice,palak khichdi ,cup
4,['1'],"medium size onion,",finely chopped,palak khichdi ,
5,['1'],"medium size tomato,",chopped,palak khichdi ,
6,['1'],"medium size potato,",chopped,palak khichdi ,
7,['1'],cinnamon,(dalchini),palak khichdi ,inch
8,['1'],tej patta,(indian bay leaf),palak khichdi ,
9,['2'],cloves,(lavang),palak khichdi ,
10,['2'],green cardamoms,(choti elaichi),palak khichdi ,
11,['½'],caraway seeds,(shah jeera) Or cumin seeds (jeera),palak khichdi ,teaspoon
12,['½'],ginger + 3 to 4 garlic,- crushed in a mortar-pestle to a paste Or 1 teaspoon ginger garlic paste (adrak lahsun ka paste),palak khichdi ,inch
13,['1'],"green chilli,",chopped (hari mirch),palak khichdi ,
14,['¼'],turmeric powder,(haldi),palak khichdi ,teaspoon
15,['1'],asafoetida,(hing) * check notes,palak khichdi ,pinch
16,,salt as required,,palak khichdi ,
17,['2'],ghee,or oil,palak khichdi ,tablespoon
18,['3.5 to 4'],water,,palak khichdi ,cups
0,['250 to 300'],paneer,(cottage cheese),kadai paneer gravy ,grams
1,['1'],small to medium capsicum,"(green bell pepper), julienned",kadai paneer gravy ,
2,['1.5'],"ginger + 7 to 8 medium sized garlic,",crushed in a mortar-pestle to a fine paste,kadai paneer gravy ,inch
3,['1 to 2'],"green chilies,",chopped,kadai paneer gravy ,
4,['2'],medium sized onions,"OR 100 grams onions, finely chopped",kadai paneer gravy ,
5,['7'],medium tomatoes,"OR 500 to 550 grams tomatoes (2 tomatoes, finely chopped and 5 tomatoes, pureed in a blender)",kadai paneer gravy ,
6,['¾ to 1'],garam masala powder,,kadai paneer gravy ,teaspoon
7,['½'],crushed kasuri methi,(dry fenugreek leaves),kadai paneer gravy ,tablespoon
8,['½ to ¾'],"water,",add as required,kadai paneer gravy ,cup
9,['2'],"cream,",(25 to 30% fat) - OPTIONAL,kadai paneer gravy ,tablespoons
10,['3'],butter,or oil or ghee,kadai paneer gravy ,tablespoons
11,,a few chopped coriander leaves for garnish,,kadai paneer gravy ,
12,,salt as required,,kadai paneer gravy ,
13,['5'],coriander seeds,(sabut dhania),kadai paneer gravy ,teaspoons
14,['4 to 5'],"dry kashmiri red chilies,","if using any other variety of dry red chilies, then reduce to 2 to 4 depending on the heat and pungency of the chilies.",kadai paneer gravy ,
0,['4'],tightly packed spinach,OR 185 grams spinach (palak),palak paneer ,cups
1,['3.5'],"hot water,",for blanching spinach,palak paneer ,cups
2,['1'],"green chili,",chopped,palak paneer ,
3,['½'],"ginger, chopped",OR ½ teaspoon roughly chopped ginger,palak paneer ,inch
4,['10 to 12'],cashews,(kaju),palak paneer ,
5,['¼'],"hot water,",for soaking cashews,palak paneer ,cup
6,['2'],ghee,or oil,palak paneer ,tablespoons
7,['½'],cumin seeds,(jeera),palak paneer ,teaspoon
8,['1'],tej patta,(indian bay leaf),palak paneer ,
9,['1'],cinnamon,(dalchini),palak paneer ,inch
10,['4'],cloves,(lavang),palak paneer ,
11,['2'],green cardamoms,(choti elaichi),palak paneer ,
12,['1 to 2'],single mace strands,(javitri),palak paneer ,
13,['1'],dry red chili,(sookhi lal mirch),palak paneer ,
14,['1'],generous pinch of asafoetida,(hing),palak paneer ,
15,['¼'],kasuri methi,(dry methi leaves),palak paneer ,teaspoon
16,['½'],finely chopped ginger,(adrak),palak paneer ,teaspoon
17,['¼'],turmeric powder,(haldi),palak paneer ,teaspoon
18,['¼'],red chili powder,(lal mirch powder),palak paneer ,teaspoon
19,['¼ to ½'],sugar,or add as required,palak paneer ,teaspoon
20,['½ to ⅔'],water,or add as required,palak paneer ,cup
21,,salt ,as required,palak paneer ,
22,['¼ to ½'],lemon juice,,palak paneer ,teaspoon
23,['200'],"paneer,",chopped in cubes,palak paneer ,grams
24,['¼'],garam masala powder,,palak paneer ,teaspoon
0,['1'],curd,(dahi or yogurt) - dairy or vegan,onion tomato raita ,cup
1,['1'],"small to medium sized onion,",finely chopped,onion tomato raita ,
2,['1'],"small to medium sized tomato,",finely chopped,onion tomato raita ,
3,['1'],"green chili,",finely chopped,onion tomato raita ,
4,['2 to 3'],chopped mint leaves,or coriander leaves or a mix of both,onion tomato raita ,teaspoon
5,['⅛'],red chili powder,(lal mirch powder),onion tomato raita ,teaspoon
6,['1'],roasted cumin powder,(bhuna jeera powder),onion tomato raita ,teaspoon
7,,salt as required,,onion tomato raita ,
8,,few mint leaves or coriander leaves for garnishing,(optional),onion tomato raita ,
0,['½'],poha,OR 40 grams poha,instant idli ,cup
1,['2'],urad dal,(husked black gram),instant idli ,tablespoons
2,['½'],rice flour,OR 100 grams rice flour,instant idli ,cup
3,['¼'],sour curd,(khatta dahi),instant idli ,cup
4,['1 to 1.25'],water,or add as required,instant idli ,cups
5,['¼ to ⅓'],salt,or add as required,instant idli ,teaspoon
6,['½'],fruit salt,or eno,instant idli ,teaspoon
0,['200 to 250'],button mushrooms,- rinsed and quartered,mushroom caldin ,grams
1,['¼'],chopped onion,,mushroom caldin ,cup
2,['1'],medium sized tomato,- quartered,mushroom caldin ,
3,['2'],thin coconut milk and 1 cup thick coconut milk,(you can also substitute coconut milk with ¾ or 1 cup fresh grated coconut),mushroom caldin ,cups
4,['2'],oil,,mushroom caldin ,tablespoon
5,,salt as required,,mushroom caldin ,
6,['¼'],roughly chopped onion,,mushroom caldin ,cup
7,['2 to 3'],dry red chilies,(sookhi lal mirch),mushroom caldin ,
8,['2'],coriander seeds,(sabut dhania),mushroom caldin ,teaspoon
9,['½'],ginger,(adrak) - chopped,mushroom caldin ,inch
10,['2 to 3'],garlic cloves,(lahsun),mushroom caldin ,
11,['1'],seedless tamarind,(imli),mushroom caldin ,teaspoon
12,['1'],cumin seeds,(jeera),mushroom caldin ,teaspoon
13,['¼ or ½'],turmeric powder,(haldi),mushroom caldin ,teaspoon
14,['3 to 4'],water,,mushroom caldin ,tablespoon
0,['250'],bhindi,(okra or lady finger),bhindi fry ,grams
1,['3'],oil,,bhindi fry ,tablespoon
2,['1'],medium onion,sliced thinly or 1/3 cup sliced onions,bhindi fry ,
3,['1'],large tomato,chopped or ½ cup chopped tomatoes,bhindi fry ,
4,['2'],green chilies,(hari mirch) - slit,bhindi fry ,
5,['1'],ginger-garlic paste,(adrak lahsun ka paste) OR ½ inch ginger + 3 to 4 medium garlic crushed to a paste in mortar-pestle,bhindi fry ,teaspoon
6,['¼'],turmeric powder,(haldi),bhindi fry ,teaspoon
7,['¼'],red chili powder,(lal mirch powder),bhindi fry ,teaspoon
8,['½'],coriander powder,(dhania powder),bhindi fry ,teaspoon
9,['½'],cumin powder,(jeera powder),bhindi fry ,teaspoon
10,['½'],dry mango powder,(amchur),bhindi fry ,teaspoon
11,['¼'],garam masala powder,,bhindi fry ,teaspoon
12,['½'],kasuri methi,(dry fenugreek leaves) - crushed,bhindi fry ,teaspoon
13,['2'],chopped coriander leaves,(dhania patta),bhindi fry ,tablespoon
14,,salt as required,,bhindi fry ,
0,['½'],"eggplants,",small or medium size eggplants (baingan or aubergine),kalimirch baingan ,kg
1,['½'],turmeric powder,(haldi),kalimirch baingan ,teaspoon
2,['1 to 2'],black pepper powder,,kalimirch baingan ,teaspoon
3,,salt,as required,kalimirch baingan ,
4,,oil,as required,kalimirch baingan ,
5,,a few coriander leaves for garnish,(dhania patta),kalimirch baingan ,
0,['¾ to 1'],grated coconut,- fresh or frozen,"coconut chutney for fasting or vrat, quick coconut chutney ",cup
1,['1 or 2'],green chilies,(hari mirch) - or as required,"coconut chutney for fasting or vrat, quick coconut chutney ",
2,,rock salt,or sendha namak or upwas ka namak as required,"coconut chutney for fasting or vrat, quick coconut chutney ",
3,['2 to 3'],water,or as required,"coconut chutney for fasting or vrat, quick coconut chutney ",tablespoons
0,['1'],heaped basmati rice,"or 200 grams basmati rice, soaked in enough water for 30 minutes",kaju pulao ,cup
1,['2'],ghee or oil,,kaju pulao ,tablespoons
2,['1'],medium to large onion,or 65 grams onion or ½ cup thinly sliced onions,kaju pulao ,
3,['½'],ginger garlic paste,or 2 to 3 garlic cloves + ½ inch ginger crushed in a mortar-pestle,kaju pulao ,tsp
4,['25 to 30'],cashews,(kaju),kaju pulao ,
5,,salt as required,,kaju pulao ,
6,['1.75'],water for pressure cooking,,kaju pulao ,cups
7,['2'],coriander leaves for garnish,,kaju pulao ,tablespoons
8,['1'],small to medium tej patta,,kaju pulao ,
9,['5 to 6'],black peppers,(sabut kali mirch),kaju pulao ,
10,['1.5'],cinnamon,(dalchini),kaju pulao ,inch
11,['½'],caraway seeds,(shah jeera),kaju pulao ,tsp
12,['1'],black cardamom,(badi elaichi),kaju pulao ,
13,['2'],green cardamom/,(choti elaichi),kaju pulao ,
14,['3'],cloves,(lavang),kaju pulao ,
15,['1 or 2'],single strands of mace,(javitri),kaju pulao ,
0,['2 to 2.5'],chopped bottle gourd,(lauki or opo squash),lauki wadi ,cups
1,['9-10'],punjabi wadis,,lauki wadi ,
2,['1'],"medium size onion,",finely chopped,lauki wadi ,
3,['2'],"medium size tomatoes,",finely chopped,lauki wadi ,
4,['1 or 2'],"green chilies,",chopped,lauki wadi ,
5,['½'],"ginger,",finely chopped or ground,lauki wadi ,inch
6,['1'],cumin seeds,(jeera),lauki wadi ,teaspoon
7,['½'],turmeric powder,(haldi),lauki wadi ,teaspoon
8,['½'],red chili powder,(lal mirch powder),lauki wadi ,teaspoon
9,['½'],punjabi garam masala,or regular garam masala,lauki wadi ,teaspoon
10,['2'],oil,,lauki wadi ,tablespoon
11,['1 to 1.5'],water,,lauki wadi ,cups
12,,salt as required,,lauki wadi ,
13,,some coriander leaves for garnishing,(optional),lauki wadi ,
0,['250'],colocasia roots,( arbi),sukhi arbi ,grams
1,['1.5'],carom seeds,(ajwain),sukhi arbi ,teaspoon
2,['1'],coriander powder,(dhania powder),sukhi arbi ,teaspoon
3,['1'],red chili powder,(lal mirch powder),sukhi arbi ,teaspoon
4,['1'],dry mango powder,(amchur),sukhi arbi ,teaspoon
5,,oil for frying,,sukhi arbi ,
6,,few fresh mint leaves for garnishing,(pudina patta),sukhi arbi ,
7,,rock salt,or sendha namak if making for religious fast (or regular salt for other days),sukhi arbi ,
8,,water to cook the arbi,,sukhi arbi ,
0,['1'],chole,(dry chickpeas or white chana) - soaked overnight,easy chole ,cup
1,['1'],"medium onion,",sliced thinly OR ⅓ cup thinly sliced onions OR 50 to 60 grams onions,easy chole ,
2,['2'],chopped ginger,(adrak),easy chole ,teaspoon
3,['2'],chopped garlic,(lahsun),easy chole ,teaspoon
4,['1'],cinnamon,(dalchini),easy chole ,inch
5,['2'],black cardamoms,(badi elaichi),easy chole ,
6,['5 to 6'],cloves,(lavang),easy chole ,
7,['1'],tej patta,(indian bay leaf),easy chole ,
8,['1'],cumin,(jeera),easy chole ,teaspoon
9,['1'],ajwain,(carom seeds),easy chole ,teaspoon
10,['3.5'],water,,easy chole ,cups
11,,salt as required,,easy chole ,
12,['1'],medium onion,finely chopped OR ⅓ cup finely chopped onion OR 50 to 60 grams onion,easy chole ,
13,['2'],medium tomatoes,finely chopped OR ¾ cup finely chopped tomatoes,easy chole ,
14,['2 to 3'],"green chilies,",slit (hari mirch),easy chole ,
15,['2'],oil,,easy chole ,tablespoon
16,['½'],turmeric powder,(haldi),easy chole ,teaspoon
17,['1'],kashmir red chilli powder,or deghi mirch or red chili powder,easy chole ,teaspoon
18,['1'],punjabi garam masala powder or garam masala powder,,easy chole ,teaspoon
19,['1'],dry mango powder,(amchur powder),easy chole ,teaspoon
20,,a few chopped coriander leaves,(optional),easy chole ,
21,,sliced onions,,easy chole ,
22,,lemon wedges,,easy chole ,
23,,green chilies,,easy chole ,
0,['1'],chana dal,(split and husked bengal gram),cholar dal ,cup
1,['2.5'],water for pressure cooking,or 4 to 5 cups water for cooking in a pot,cholar dal ,cups
2,['1'],golden raisins,"(kishmish), optional",cholar dal ,tablespoons
3,['1 to 1.5'],cashews,"(kaju), optional",cholar dal ,tablespoon
4,['½'],turmeric powder,"(haldi powder),",cholar dal ,teaspoon
5,['2'],sugar,or add as required,cholar dal ,teaspoons
6,['½'],cumin powder,(jeera powder),cholar dal ,teaspoon
7,['¼'],red chilli powder,(lal mirch powder) or add as required,cholar dal ,teaspoon
8,['1'],tej patta,(indian bay leaf),cholar dal ,medium
9,['½'],cumin seeds,(jeera),cholar dal ,teaspoon
10,['2 to 3'],dry red chilies,(sookhi lal mirch),cholar dal ,
11,['1'],pinch of asafoetida,(hing),cholar dal ,
12,['1'],grated or finely chopped ginger,,cholar dal ,teaspoon
13,['2'],fresh grated coconut or chopped coconut,(nariyal ke tukde),cholar dal ,tablespoons
14,['1.5'],ghee (clarified butter) or 2 tbsp oil,"(for a richer taste, use ghee)",cholar dal ,tablespoon
15,['1'],cinnamon,(dalchini),cholar dal ,inch
16,['3'],cloves,(laung),cholar dal ,
17,['2'],green cardamoms,(choti elaichi),cholar dal ,
0,['9 to 10'],medium size red and juicy tomatoes,,tomato rasam ,
1,['1 to 2'],water,,tomato rasam ,cups
2,,salt,as required,tomato rasam ,
3,['½'],coriander stems with or without leaves,,tomato rasam ,cup
4,['1'],ginger,(adrak),tomato rasam ,inch
5,['8 to 9'],garlic,(lahsun),tomato rasam ,
6,['10 to 12'],black pepper,(sabut kali mirch),tomato rasam ,
7,['1'],cumin seeds,(jeera),tomato rasam ,tablespoon
8,['2'],oil,,tomato rasam ,tablespoons
9,['2 to 3'],sprig of curry leaves,(kadi patta),tomato rasam ,
10,['1'],pinch of asafoetida,(hing),tomato rasam ,
11,['1'],mustard seeds,(rai),tomato rasam ,teaspoon
12,['1'],urad dal,(husked & split black gram),tomato rasam ,teaspoon
13,['1 or 2'],dry red chillies,broken and seeds removed,tomato rasam ,
14,['½'],turmeric powder,(haldi),tomato rasam ,teaspoon
0,['1'],rice,,poornam boorelu ,cup
1,['½'],urad dal,,poornam boorelu ,cup
2,['3'],water for soaking,,poornam boorelu ,cups
3,['½ to ⅔'],water for grinding,or add as required,poornam boorelu ,cup
4,['½'],salt,or add as per taste,poornam boorelu ,teaspoon
5,['1'],chana dal,OR 195 grams chana dal,poornam boorelu ,cup
6,['2.5'],water,for pressure cooking,poornam boorelu ,cups
7,['1'],jaggery,OR 160 to 165 grams jaggery,poornam boorelu ,cup
8,['½'],green cardamom seeds,or cardamom powder,poornam boorelu ,teaspoon
9,['¼'],nutmeg powder,(OPTIONAL),poornam boorelu ,teaspoon
10,['¼'],grated coconut,(OPTIONAL),poornam boorelu ,cup
11,,oil as required,for deep frying,poornam boorelu ,
12,['1'],ghee,,poornam boorelu ,tablespoon
0,['¼'],finely chopped cabbage,(patta gobhi),veg coleslaw sandwich ,cup
1,['¼'],tightly packed finely chopped carrots,(gajar),veg coleslaw sandwich ,cup
2,['¼'],boiled or steamed corn kernels,(makai or bhutta) - OPTIONAL,veg coleslaw sandwich ,cup
3,['2'],finely chopped capsicum,- can use green or red or yellow capsicum (bell pepper or shimla mirch),veg coleslaw sandwich ,tablespoons
4,['2'],finely chopped spring onions or onions,,veg coleslaw sandwich ,tablespoons
5,['¼'],"mayonnaise,",eggless or vegan,veg coleslaw sandwich ,cup
6,['¼ to ½'],black pepper powder,(kali mirch powder),veg coleslaw sandwich ,teaspoon
7,['1'],sugar,or add as required,veg coleslaw sandwich ,teaspoon
8,['½'],lemon juice,or add as required,veg coleslaw sandwich ,teaspoon
9,['1'],salt,or add as required,veg coleslaw sandwich ,pinch
10,,"some dried herbs like oregano, thyme, basil or mixed herbs, add as required",- OPTIONAL,veg coleslaw sandwich ,
11,,"red chili flakes or finely chopped green chilies, add as required",- OPTIONAL,veg coleslaw sandwich ,
12,,butter as required,- OPTIONAL,veg coleslaw sandwich ,
13,['8 to 10'],of bread,- whole wheat or multi grain or brown or white bread,veg coleslaw sandwich ,slices
0,['3'],100% whole wheat flour,(atta),100% whole wheat bread ,cups
1,['1 to 1.25'],water,- i used 1.25 cups water,100% whole wheat bread ,cups
2,['1'],instant yeast,OR ½ tablespoon dry active yeast,100% whole wheat bread ,teaspoon
3,['1'],regular salt,or rock salt (sendha namak),100% whole wheat bread ,teaspoon
4,['1'],regular sugar,or unrefined cane sugar,100% whole wheat bread ,tablespoon
5,['2'],ghee ,or oil or butter,100% whole wheat bread ,tablespoon
6,['2'],curd,(yogurt or dahi - dairy or vegan) OR 1.5 tablespoon vinegar,100% whole wheat bread ,tablespoon
7,,some milk for brushing the top of the bread,(dairy or vegan),100% whole wheat bread ,
0,['1'],milk powder,,gulab jamun ,cup
1,['¼'],all purpose flour,or maida,gulab jamun ,cup
2,['1'],oil,OR ½ teaspoon ghee,gulab jamun ,teaspoon
3,,a pinch of salt,(optional),gulab jamun ,
4,,a pinch of baking soda,,gulab jamun ,
5,['1 to 2'],curd,(yogurt or dahi),gulab jamun ,tablespoon
6,,a few blanched pistachio,(pista) or almond slices (badam) for garnishing,gulab jamun ,
7,['2'],water,,gulab jamun ,cups
8,['1.5'],sugar,,gulab jamun ,cups
9,['3 to 4'],green cardamoms,- husked and crushed or powdered (choti elaichi),gulab jamun ,
10,,a pinch of saffron,(kesar) - optional,gulab jamun ,
11,['1'],rose water,- optional,gulab jamun ,teaspoon
0,['½'],quick cooking oats,or rolled oats,oats uttapam ,cup
1,['¼'],fine rava,(sooji or cream of wheat),oats uttapam ,cup
2,['¼'],besan,(gram flour),oats uttapam ,cup
3,['⅔ to ¾'],water or add as required,,oats uttapam ,cup
4,['1'],lemon juice,,oats uttapam ,tablespoon
5,['⅛'],baking soda,,oats uttapam ,teaspoon
6,,salt as required,,oats uttapam ,
7,['1'],"small to medium onion,",thinly sliced,oats uttapam ,
8,['1'],"small to medium tomato,",thinly sliced,oats uttapam ,
9,['1'],"small bell pepper,",thinly sliced - green or red or yellow color bell pepper (shimla mirch or capsicum),oats uttapam ,
10,['1'],"green chilli,",chopped (hari mirch),oats uttapam ,
11,['2 to 3'],chopped coriander leaves,(dhania patta),oats uttapam ,tablespoon
12,,oil as required,,oats uttapam ,
0,['1'],ripe avocado,,guacamole toast sandwich ,
1,['1'],"small to medium onion,",finely chopped,guacamole toast sandwich ,
2,['1'],"green chili,",finely chopped,guacamole toast sandwich ,
3,['1'],"garlic clove,",finely chopped or crushed finely,guacamole toast sandwich ,
4,['½'],black pepper powder,or add as per taste,guacamole toast sandwich ,tsp
5,['2'],"olive oil,",optional,guacamole toast sandwich ,tsp
6,,a few chopped coriander or cilantro leaves,,guacamole toast sandwich ,
7,,few drops of lemon juice,,guacamole toast sandwich ,
8,,black salt,or rock salt or salt,guacamole toast sandwich ,
9,['8'],white bread,or brown or whole wheat bread,guacamole toast sandwich ,slices
0,['1'],fresh curd,(dahi or yogurt),dill leaves raita ,cup
1,['½'],finely chopped cucumber,,dill leaves raita ,cup
2,['¼'],roasted cumin powder,(bhuna jeera powder),dill leaves raita ,teaspoon
3,['¼'],red chilli powder,(lal mirch powder),dill leaves raita ,teaspoon
4,,salt as required,,dill leaves raita ,
5,['1'],oil,,dill leaves raita ,teaspoon
6,['¼'],cumin seeds,(jeera),dill leaves raita ,teaspoon
7,['½'],finely chopped ginger,(adrak),dill leaves raita ,teaspoon
8,['¼'],chopped dill leaves,,dill leaves raita ,cup
0,['⅓ '],black chana,(black chickpeas),kootu curry ,cup 
1,['¼ '],salt,,kootu curry ,teaspoon 
2,['1.5'],water,,kootu curry , cups 
3,['1 to 1.25 '],plantain,(raw banana),kootu curry ,cups 
4,['1 '],elephant foot yam,(suran),kootu curry ,cup 
5,['¼ '],turmeric powder,(haldi),kootu curry ,teaspoon 
6,['¼ '],black pepper powder,(kali mirch powder),kootu curry ,teaspoon 
7,['1.5 '],water,,kootu curry ,cups 
8,['½ '],salt ,or add as required,kootu curry ,teaspoon 
9,['1 '],jaggery,- optional,kootu curry ,teaspoon 
10,['¼ '],water ,added later - optional,kootu curry ,cup 
11,['½ '],grated fresh coconut,,kootu curry ,cup 
